,nleafnodes,Train_Accuracy,Train_F1,Validation_Accuracy,Validation_F1
0,2.0,0.9575892857142857,0.9102079395085066,0.9611607142857143,0.9180018850141376
1,4.0,0.9634486607142857,0.9236507751486187,0.9665178571428571,0.9301675977653632
2,10.0,0.9707589285714285,0.939673037071149,0.9756696428571429,0.9491367242183855
3,20.0,0.9791852678571429,0.9576088191839982,0.9776785714285714,0.9540863177226814
4,50.0,0.987109375,0.9739189341763577,0.9825892857142857,0.9640883977900553
5,100.0,0.9924665178571429,0.984822934232715,0.9848214285714286,0.9688073394495413
6,200.0,0.9977120535714286,0.995423596383525,0.9794642857142857,0.9585958595859586
7,400.0,1.0,1.0,0.9790178571428572,0.9577338129496403
8,600.0,1.0,1.0,0.9805803571428572,0.961038961038961
9,,1.0,1.0,0.9787946428571429,0.9574563367666816
